id,parentCode,label.en,description.en
1816133633,2013265921,Darlington,Darlington
1816133634,2013265921,County Durham,County Durham
1816133635,2013265921,Hartlepool,Hartlepool
1816133636,2013265921,Middlesbrough,Middlesbrough
1816133637,2013265921,Northumberland,Northumberland
1816133638,2013265921,Redcar and Cleveland,Redcar and Cleveland
1816133639,2013265921,Stockton-on-Tees,Stockton-on-Tees
1816133640,2013265921,Gateshead,Gateshead
1816133641,2013265921,Newcastle upon Tyne,Newcastle upon Tyne
1816133642,2013265921,North Tyneside,North Tyneside
1816133643,2013265921,South Tyneside,South Tyneside
1816133644,2013265921,Sunderland,Sunderland
1816133645,2013265922,Blackburn with Darwen,Blackburn with Darwen
1816133646,2013265922,Blackpool,Blackpool
1816133647,2013265922,Cheshire East,Cheshire East
1816133648,2013265922,Cheshire West and Chester,Cheshire West and Chester
1816133649,2013265922,Halton,Halton
1816133650,2013265922,Warrington,Warrington
1816133651,2013265922,Cumbria,Cumbria
1816133652,2013265922,Bolton,Bolton
1816133653,2013265922,Bury,Bury
1816133654,2013265922,Manchester,Manchester
1816133655,2013265922,Oldham,Oldham
1816133656,2013265922,Rochdale,Rochdale
1816133657,2013265922,Salford,Salford
1816133658,2013265922,Stockport,Stockport
1816133659,2013265922,Tameside,Tameside
1816133660,2013265922,Trafford,Trafford
1816133661,2013265922,Wigan,Wigan
1816133662,2013265922,Lancashire,Lancashire
1816133663,2013265922,Knowsley,Knowsley
1816133664,2013265922,Liverpool,Liverpool
1816133665,2013265922,Sefton,Sefton
1816133666,2013265922,St. Helens,St. Helens
1816133667,2013265922,Wirral,Wirral
1816133668,2013265923,East Riding of Yorkshire,East Riding of Yorkshire
1816133669,2013265923,"Kingston upon Hull, City of","Kingston upon Hull, City of"
1816133670,2013265923,North East Lincolnshire,North East Lincolnshire
1816133671,2013265923,North Lincolnshire,North Lincolnshire
1816133672,2013265923,York,York
1816133673,2013265923,North Yorkshire,North Yorkshire
1816133674,2013265923,Barnsley,Barnsley
1816133675,2013265923,Doncaster,Doncaster
1816133676,2013265923,Rotherham,Rotherham
1816133677,2013265923,Sheffield,Sheffield
